Audience_country,Encoded_Value
Algeria,0
Argentina,1
Australia,2
Austria,3
Bangladesh,4
Belgium,5
Bhutan,6
Brazil,7
Canada,8
Chile,9
China,10
Colombia,11
Costa Rica,12
Denmark,13
Egypt,14
France,15
Germany,16
Greece,17
Hong Kong,18
India,19
Indonesia,20
Iraq,21
Ireland,22
Italy,23
Japan,24
Malaysia,25
Mexico,26
Morocco,27
Netherlands,28
New Zealand,29
Nigeria,30
Norway,31
Pakistan,32
Peru,33
Philippines,34
Poland,35
Portugal,36
Romania,37
Russia,38
Saudi Arabia,39
Singapore,40
South Africa,41
South Korea,42
Spain,43
Sweden,44
Switzerland,45
Thailand,46
United Arab Emirates,47
United Kingdom,48
United States,49
Vietnam,50
